year_census,date_census_start,date_census_end,state_abb,state_name,state_region,state_division,population,median_household_income,census_current_flag
2012,2012-01-01,2012-12-31,DC,District of Columbia,Northeast,South Atlantic,605759,64267,FALSE
2012,2012-01-01,2012-12-31,FL,Florida,South,South Atlantic,18885152,47309,FALSE
2012,2012-01-01,2012-12-31,GA,Georgia,South,South Atlantic,9714569,49604,FALSE
2012,2012-01-01,2012-12-31,HI,Hawaii,West,Pacific,1362730,67492,FALSE
2012,2012-01-01,2012-12-31,ID,Idaho,West,Mountain,1567803,47015,FALSE
2012,2012-01-01,2012-12-31,IL,Illinois,North Central,East North Central,12823860,56853,FALSE
2012,2012-01-01,2012-12-31,IN,Indiana,North Central,East North Central,6485530,48374,FALSE
2012,2012-01-01,2012-12-31,IA,Iowa,North Central,West North Central,3047646,51129,FALSE
2012,2012-01-01,2012-12-31,KS,Kansas,North Central,West North Central,2851183,51273,FALSE
2012,2012-01-01,2012-12-31,KY,Kentucky,South,East South Central,4340167,42610,FALSE
2012,2012-01-01,2012-12-31,LA,Louisiana,South,West South Central,4529605,44673,FALSE
2012,2012-01-01,2012-12-31,ME,Maine,Northeast,New England,1329084,48219,FALSE
2012,2012-01-01,2012-12-31,MD,Maryland,South,South Atlantic,5785496,72999,FALSE
2012,2012-01-01,2012-12-31,MA,Massachusetts,Northeast,New England,6560595,66658,FALSE
2012,2012-01-01,2012-12-31,MI,Michigan,North Central,East North Central,9897264,48471,FALSE
2012,2012-01-01,2012-12-31,MN,Minnesota,North Central,West North Central,5313081,59126,FALSE
2012,2012-01-01,2012-12-31,MS,Mississippi,South,East South Central,2967620,38882,FALSE
2012,2012-01-01,2012-12-31,MO,Missouri,North Central,West North Central,5982413,47333,FALSE
2012,2012-01-01,2012-12-31,MT,Montana,West,Mountain,990785,45456,FALSE
2012,2012-01-01,2012-12-31,NE,Nebraska,North Central,West North Central,1827306,51381,FALSE
2012,2012-01-01,2012-12-31,NV,Nevada,West,Mountain,2704204,54083,FALSE
2012,2012-01-01,2012-12-31,NH,New Hampshire,Northeast,New England,1317474,64925,FALSE
2012,2012-01-01,2012-12-31,NJ,New Jersey,Northeast,Middle Atlantic,8793888,71637,FALSE
2012,2012-01-01,2012-12-31,NM,New Mexico,West,Mountain,2055287,44886,FALSE
2012,2012-01-01,2012-12-31,NY,New York,Northeast,Middle Atlantic,19398125,57683,FALSE
2012,2012-01-01,2012-12-31,NC,North Carolina,South,South Atlantic,9544249,46450,FALSE
2012,2012-01-01,2012-12-31,ND,North Dakota,North Central,West North Central,676253,51641,FALSE
2012,2012-01-01,2012-12-31,OH,Ohio,North Central,East North Central,11533561,48246,FALSE
2012,2012-01-01,2012-12-31,OK,Oklahoma,South,West South Central,3749005,44891,FALSE
2012,2012-01-01,2012-12-31,OR,Oregon,West,Pacific,3836628,50036,FALSE
2012,2012-01-01,2012-12-31,PA,Pennsylvania,Northeast,Middle Atlantic,12699589,52267,FALSE
2012,2012-01-01,2012-12-31,RI,Rhode Island,Northeast,New England,1052471,56102,FALSE
2012,2012-01-01,2012-12-31,SC,South Carolina,South,South Atlantic,4630351,44623,FALSE
2012,2012-01-01,2012-12-31,SD,South Dakota,North Central,West North Central,815871,49091,FALSE
2012,2012-01-01,2012-12-31,TN,Tennessee,South,East South Central,6353226,44140,FALSE
2012,2012-01-01,2012-12-31,TX,Texas,South,West South Central,25208897,51563,FALSE
2012,2012-01-01,2012-12-31,UT,Utah,West,Mountain,2766233,58164,FALSE
2012,2012-01-01,2012-12-31,VT,Vermont,Northeast,New England,625498,54168,FALSE
2012,2012-01-01,2012-12-31,VA,Virginia,South,South Atlantic,8014955,63636,FALSE
2012,2012-01-01,2012-12-31,WA,Washington,West,Pacific,6738714,59374,FALSE
2012,2012-01-01,2012-12-31,WV,West Virginia,South,South Atlantic,1850481,40400,FALSE
2012,2012-01-01,2012-12-31,WI,Wisconsin,North Central,East North Central,5687219,52627,FALSE
2012,2012-01-01,2012-12-31,WY,Wyoming,West,Mountain,562803,56573,FALSE
2012,2012-01-01,2012-12-31,DC,Puerto Rico,Northeast,South Atlantic,3716727,19515,FALSE
2013,2013-01-01,2013-12-31,AL,Alabama,South,East South Central,4799277,43253,FALSE
2013,2013-01-01,2013-12-31,AK,Alaska,West,Pacific,720316,70760,FALSE
2013,2013-01-01,2013-12-31,AZ,Arizona,West,Mountain,6479703,49774,FALSE
2013,2013-01-01,2013-12-31,AR,Arkansas,South,West South Central,2933369,40768,FALSE
2013,2013-01-01,2013-12-31,CA,California,West,Pacific,37659181,61094,FALSE
2013,2013-01-01,2013-12-31,CO,Colorado,West,Mountain,5119329,58433,FALSE
2013,2013-01-01,2013-12-31,CT,Connecticut,Northeast,New England,3583561,69461,FALSE
2013,2013-01-01,2013-12-31,DE,Delaware,South,South Atlantic,908446,59878,FALSE
2013,2013-01-01,2013-12-31,DC,District of Columbia,Northeast,South Atlantic,619371,65830,FALSE
2013,2013-01-01,2013-12-31,FL,Florida,South,South Atlantic,19091156,46956,FALSE
2013,2013-01-01,2013-12-31,GA,Georgia,South,South Atlantic,9810417,49179,FALSE
2013,2013-01-01,2013-12-31,HI,Hawaii,West,Pacific,1376298,67402,FALSE
2013,2013-01-01,2013-12-31,ID,Idaho,West,Mountain,1583364,46767,FALSE
